Category,Item,Calories / Serving Size,Calories From Fat / Serving Size,Total Fat (g),Total Fat (% Daily Value),Saturated Fat,Saturated Fat (% Daily Value),Trans Fat,Cholesterol,Cholesterol (% Daily Value),Sodium,Sodium (% Daily Value),Carbohydrates,Carbohydrates (% Daily Value),Dietary Fiber,Dietary Fiber (% Daily Value),Sugars / Serving (g),Protein / Serving Size,Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value)
Breakfast,Sausage Biscuit (Large Biscuit),104.3478261,60.86956522,31,48,13,65,0,30,10,1190,50,39,13,3,11,0.652173913,2.4,4,0,8,15
Breakfast,Sausage Biscuit with Egg (Regular Biscuit),89.47368421,50.87719298,33,50,14,71,0,250,83,1170,49,36,12,2,6,0.350877193,3.2,6,0,10,20
Breakfast,Sausage Biscuit with Egg (Large Biscuit),91.93548387,53.22580645,37,57,15,74,0,250,83,1280,53,42,14,3,11,0.483870968,2.9,10,0,10,20
Breakfast,Sausage Biscuit with Egg Whites (Regular Biscuit),77.96610169,42.37288136,27,42,12,62,0,35,11,1180,49,34,11,2,6,0.508474576,3.1,0,0,8,15
Breakfast,Sausage Biscuit with Egg Whites (Large Biscuit),81.25,43.75,32,49,13,65,0,35,11,1290,54,40,13,3,11,0.46875,2.8,4,0,8,15
Breakfast,Southern Style Chicken Biscuit (Regular Biscuit),82,36,20,31,8,41,0,30,10,1180,49,41,14,2,6,0.6,3.4,0,2,6,15
Breakfast,Southern Style Chicken Biscuit (Large Biscuit),85.45454545,40,24,37,9,45,0,30,10,1290,54,46,15,3,11,0.727272727,3.1,4,2,8,15
Breakfast,Steak & Egg Biscuit (Regular Biscuit),76.05633803,40.84507042,32,49,16,78,1,280,93,1470,61,38,13,2,8,0.422535211,3.5,10,2,20,25
Breakfast,"Bacon, Egg & Cheese McGriddles",75.40983607,31.14754098,21,32,9,44,0,250,84,1250,52,48,16,2,9,2.459016393,3.1,10,10,20,15
Breakfast,"Bacon, Egg & Cheese McGriddles with Egg Whites",63.49206349,22.22222222,15,24,7,34,0,35,11,1250,52,47,16,2,9,2.53968254,3.2,2,10,15,10
Breakfast,Sausage McGriddles,84,40,22,34,8,40,0,35,11,1030,43,44,15,2,8,3,2.2,0,0,8,10
Breakfast,"Sausage, Egg & Cheese McGriddles",77.46478873,39.43661972,31,48,12,61,0,265,89,1320,55,48,16,2,9,2.112676056,2.8,10,0,20,15
Breakfast,"Sausage, Egg & Cheese McGriddles with Egg Whites",69.44444444,31.94444444,26,40,10,52,0,50,17,1320,55,46,15,2,9,2.083333333,2.9,2,0,20,10
Breakfast,"Bacon, Egg & Cheese Bagel",89.85507246,40.57971014,31,48,11,56,0.5,275,92,1480,62,57,19,3,11,1.014492754,4.3,20,15,20,20
Breakfast,"Bacon, Egg & Cheese Bagel with Egg Whites",80.28169014,32.3943662,25,39,9,45,0.5,60,20,1480,62,55,18,3,12,1.126760563,4.2,10,15,20,15
Breakfast,"Steak, Egg & Cheese Bagel",78.82352941,36.47058824,35,53,13,63,1.5,295,99,1510,63,56,19,3,12,0.823529412,3.9,20,4,25,25
Breakfast,Big Breakfast (Regular Biscuit),77.89473684,45.26315789,48,73,17,87,0,555,185,1560,65,51,17,3,12,0.315789474,2.9,15,2,15,25
Breakfast,Big Breakfast (Large Biscuit),80,47,52,80,18,90,0,555,185,1680,70,56,19,4,17,0.3,2.8,15,2,15,30
Breakfast,Big Breakfast with Egg Whites (Regular Biscuit),66.66666667,34.375,37,57,14,69,0,35,12,1590,66,50,17,3,12,0.3125,2.7,0,2,10,15
Breakfast,Big Breakfast with Egg Whites (Large Biscuit),69,37,41,63,14,72,0,35,12,1700,71,55,18,4,17,0.4,2.6,4,2,10,15
Breakfast,Big Breakfast with Hotcakes (Regular Biscuit),77.85714286,36.42857143,56,87,19,96,0,575,192,2150,90,111,37,6,23,1.214285714,2.6,15,2,25,40
Breakfast,Big Breakfast with Hotcakes (Large Biscuit),76.66666667,36,60,93,20,100,0,575,192,2260,94,116,39,7,28,1.133333333,2.4,15,2,30,40
Breakfast,Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),70.71428571,29.28571429,46,70,16,78,0,55,19,2170,91,110,37,6,23,1.214285714,2.5,0,2,25,30
Breakfast,Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),70,30,50,77,16,81,0,55,19,2290,95,115,38,7,28,1.2,2.3,4,2,25,30
Breakfast,Hotcakes,66.03773585,15.09433962,9,13,2,9,0,20,7,590,24,60,20,3,10,2.641509434,1.5,0,0,15,15
Breakfast,Hotcakes and Sausage,76.47058824,30.88235294,24,37,7,36,0,50,17,930,39,61,20,3,10,2.058823529,2.2,0,0,15,15
Breakfast,Sausage Burrito,76.92307692,38.46153846,16,25,7,33,0,115,38,790,33,26,9,1,5,0.512820513,3.1,10,2,15,15
Breakfast,Hash Brown,75,40,9,14,1.5,6,0,0,0,310,13,15,5,2,6,0,0.5,0,2,0,2
Breakfast,Cinnamon Melts,115,42.5,19,30,9,43,0,15,5,370,15,66,22,3,11,8,1.5,4,0,6,15
Breakfast,Fruit & Maple Oatmeal,30.20833333,3.645833333,4,6,1.5,8,0,5,2,160,7,58,19,5,19,3.333333333,0.5,2,130,10,10
Breakfast,Fruit & Maple Oatmeal without Brown Sugar,27.08333333,4.166666667,4,6,1.5,8,0,5,2,115,5,49,16,5,22,1.875,0.5,2,130,6,10
Lunch,Big Mac,71.62162162,32.43243243,27,42,10,48,1,85,28,960,40,47,16,3,13,1.216216216,3.2,6,2,25,25
Lunch,Quarter Pounder with Cheese,73.23943662,33.8028169,26,41,12,61,1.5,95,31,1100,46,41,14,3,11,1.408450704,4.2,10,2,30,25
Lunch,Quarter Pounder with Bacon & Cheese,75,32.5,29,45,13,63,1.5,105,34,1440,60,48,16,3,12,1.5,4.6,6,15,25,30
Lunch,Quarter Pounder with Bacon Habanero Ranch,73.4939759,33.73493976,31,48,13,64,1.5,105,35,1180,49,46,15,3,14,1.204819277,4.5,8,20,25,30
